timestamp,user_id,action
2023-10-11 06:04:43,3852,logout
2023-10-11 16:08:18,1607,add_to_cart
2023-10-11 12:19:50,4827,purchase
2023-10-11 09:13:27,7114,view
2023-10-11 12:44:31,6865,purchase
2023-10-11 07:49:03,8561,purchase
2023-10-11 16:41:42,1933,view
2023-10-11 14:22:53,8601,logout
2023-10-11 09:13:56,2323,add_to_cart
2023-10-11 00:22:21,8897,view
2023-10-11 00:35:33,1228,view
2023-10-11 04:40:50,9618,view
2023-10-11 21:22:53,1903,logout
2023-10-11 16:50:00,6680,view
2023-10-11 23:37:09,8324,add_to_cart
2023-10-11 22:15:52,4539,view
2023-10-11 09:03:43,7562,logout
2023-10-11 22:57:15,3524,view
2023-10-11 07:22:49,2838,add_to_cart
2023-10-11 12:46:06,7830,purchase
2023-10-11 18:01:11,7291,view
2023-10-11 21:43:03,8530,purchase
2023-10-11 04:28:31,3963,click
2023-10-11 14:40:02,8671,click
2023-10-11 21:23:13,2002,purchase
2023-10-11 10:07:55,8939,purchase
2023-10-11 07:58:33,4018,purchase
2023-10-11 13:52:49,4786,logout
2023-10-11 18:14:46,7278,click
2023-10-11 11:36:49,9212,logout
2023-10-11 19:53:30,2982,view
2023-10-11 05:22:24,2643,purchase
2023-10-11 11:44:35,6007,add_to_cart
2023-10-11 11:21:54,5388,logout
2023-10-11 22:28:39,1863,click
2023-10-11 03:00:04,4537,purchase
2023-10-11 13:07:27,4333,view
2023-10-11 15:28:12,7635,view
2023-10-11 08:53:55,9888,purchase
2023-10-11 22:56:43,7622,click
2023-10-11 09:08:46,8312,click
2023-10-11 16:10:33,9918,add_to_cart
2023-10-11 18:59:22,7292,click
2023-10-11 15:52:45,8906,purchase
2023-10-11 18:00:27,4642,logout
2023-10-11 06:39:22,3530,view
2023-10-11 22:29:16,9313,view
2023-10-11 00:52:37,3220,purchase
2023-10-11 19:01:21,4879,click
2023-10-11 11:51:20,6744,view
2023-10-11 11:52:03,2238,add_to_cart
2023-10-11 08:21:11,3644,logout
2023-10-11 12:23:21,8143,click
2023-10-11 14:48:48,6326,purchase
2023-10-11 18:20:10,4172,click
2023-10-11 21:28:53,3657,logout
2023-10-11 15:10:02,1956,purchase
2023-10-11 16:57:30,9033,click
2023-10-11 07:26:28,8395,purchase
2023-10-11 21:07:15,2787,click
2023-10-11 04:29:03,2282,logout
2023-10-11 01:25:59,7055,view
2023-10-11 23:07:40,9953,logout
2023-10-11 01:09:17,3692,view
2023-10-11 18:20:50,6442,purchase
2023-10-11 19:16:12,4300,purchase
2023-10-11 01:01:34,2859,logout
2023-10-11 07:22:38,7650,add_to_cart
2023-10-11 01:23:34,1210,logout
2023-10-11 13:36:13,6908,view
2023-10-11 11:07:41,7186,purchase
2023-10-11 00:28:46,8468,purchase
2023-10-11 11:02:38,2345,add_to_cart
2023-10-11 00:01:34,9564,purchase
2023-10-11 21:40:22,4774,click
2023-10-11 06:43:48,8185,add_to_cart
2023-10-11 12:12:40,6108,logout
2023-10-11 05:00:30,9226,add_to_cart
2023-10-11 07:09:58,8207,click
2023-10-11 21:13:31,7830,view
2023-10-11 00:52:49,3746,view
2023-10-11 11:13:05,2758,logout
2023-10-11 11:21:52,4321,view
2023-10-11 22:17:48,4866,logout
2023-10-11 17:48:40,1534,add_to_cart
2023-10-11 04:27:47,3602,view
2023-10-11 19:23:11,6722,add_to_cart
2023-10-11 17:00:11,3295,purchase
2023-10-11 05:46:31,6002,logout
2023-10-11 07:00:53,8175,add_to_cart
2023-10-11 10:16:50,6844,add_to_cart
2023-10-11 23:18:22,6004,purchase
2023-10-11 07:13:14,9801,logout
2023-10-11 11:04:39,4132,purchase
2023-10-11 21:44:27,8166,view
2023-10-11 11:01:18,9025,add_to_cart
2023-10-11 08:30:27,5497,add_to_cart
2023-10-11 14:48:37,8867,purchase
2023-10-11 05:08:55,9572,view
2023-10-11 09:22:34,4316,purchase
2023-10-11 19:35:42,9198,logout
2023-10-11 00:58:47,6144,logout
2023-10-11 18:45:29,2609,add_to_cart
2023-10-11 08:38:10,1770,purchase
2023-10-11 22:54:08,6707,add_to_cart
2023-10-11 21:41:35,7907,purchase
2023-10-11 03:37:54,8336,view
2023-10-11 13:50:26,6270,purchase
2023-10-11 07:29:48,7651,add_to_cart
2023-10-11 13:14:21,9020,add_to_cart
2023-10-11 09:00:54,4513,view
2023-10-11 15:42:39,9561,add_to_cart
2023-10-11 00:45:30,7447,purchase
2023-10-11 05:24:06,3022,add_to_cart
2023-10-11 12:06:23,1597,click
2023-10-11 08:08:09,2763,add_to_cart
2023-10-11 21:15:49,6780,add_to_cart
2023-10-11 09:06:33,5852,view
2023-10-11 09:46:49,1764,logout
2023-10-11 03:19:54,5594,purchase
2023-10-11 22:44:55,7539,add_to_cart
2023-10-11 07:54:03,9421,add_to_cart
2023-10-11 05:24:11,4577,purchase
2023-10-11 08:08:57,1239,add_to_cart
2023-10-11 16:45:26,7492,logout
2023-10-11 03:28:09,3060,logout
2023-10-11 16:25:40,4120,view
2023-10-11 11:50:48,4546,purchase
2023-10-11 05:38:48,4182,view
2023-10-11 18:14:37,1655,view
2023-10-11 22:50:05,3526,view
2023-10-11 01:24:07,1781,view
2023-10-11 06:35:01,5003,view
2023-10-11 23:41:39,5553,add_to_cart
2023-10-11 23:22:13,8668,logout
2023-10-11 14:52:50,3006,view
